cross_val,kfold,n_trees,accuracy,class_1_recall,class_2_recall,class_3_recall,mean_recall,class_1_precision,class_2_precision,class_3_precision,mean_precision,class_1_F1,class_2_F1,class_3_F1,mean_F1
1,1,1,0.6129032258064516,0.2,0.5,0.8125,0.5041666666666667,0.16666666666666666,0.5,0.8666666666666667,0.5111111111111111,0.1818181818181818,0.5,0.8387096774193549,0.5068426197458455
1,2,1,0.7096774193548387,0.4,0.6666666666666666,1.0,0.6888888888888888,0.6666666666666666,0.6,0.8,0.6888888888888888,0.5,0.631578947368421,0.888888888888889,0.6734892787524367
1,3,1,0.9032258064516129,0.8,0.8181818181818182,1.0,0.8727272727272727,0.6666666666666666,0.9,1.0,0.8555555555555555,0.7272727272727272,0.8571428571428572,1.0,0.8614718614718614
1,4,1,0.7096774193548387,0.5,0.6,0.8235294117647058,0.6411764705882353,0.3333333333333333,0.6,0.9333333333333333,0.6222222222222222,0.4,0.6,0.8749999999999999,0.625
1,5,1,0.7741935483870968,0.5,0.8,0.8666666666666667,0.7222222222222223,0.5,0.8,0.8666666666666667,0.7222222222222223,0.5,0.8000000000000002,0.8666666666666667,0.7222222222222223
1,6,1,0.6774193548387096,0.3333333333333333,0.6,0.7777777777777778,0.5703703703703704,0.16666666666666666,0.6,0.9333333333333333,0.5666666666666667,0.2222222222222222,0.6,0.8484848484848485,0.5569023569023569
1,7,1,0.7419354838709677,0.42857142857142855,0.8333333333333334,0.8333333333333334,0.6984126984126985,0.5,0.5,1.0,0.6666666666666666,0.4615384615384615,0.625,0.9090909090909091,0.6652097902097901
1,8,1,0.7741935483870968,0.6,0.6363636363636364,0.9333333333333333,0.7232323232323233,0.5,0.7,0.9333333333333333,0.7111111111111111,0.5454545454545454,0.6666666666666666,0.9333333333333333,0.7151515151515152
1,9,1,0.7096774193548387,0.5,0.5833333333333334,0.9230769230769231,0.6688034188034188,0.5,0.7,0.8,0.6666666666666666,0.5,0.6363636363636365,0.8571428571428571,0.6645021645021645
1,10,1,0.7096774193548387,0.4444444444444444,0.7142857142857143,0.8666666666666667,0.6751322751322751,0.6666666666666666,0.5,0.8666666666666667,0.6777777777777777,0.5333333333333333,0.588235294117647,0.8666666666666667,0.6627450980392157
2,1,1,0.7419354838709677,0.5,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.6,1.0,0.6444444444444445,0.4,0.631578947368421,0.9090909090909091,0.6468899521531101
2,2,1,0.6774193548387096,0.375,0.5,0.9333333333333333,0.6027777777777777,0.5,0.4,0.9333333333333333,0.6111111111111112,0.42857142857142855,0.4444444444444445,0.9333333333333333,0.6021164021164022
2,3,1,0.7741935483870968,0.42857142857142855,0.6666666666666666,1.0,0.6984126984126983,0.5,0.6,1.0,0.7000000000000001,0.4615384615384615,0.631578947368421,1.0,0.6977058029689608
2,4,1,0.7419354838709677,0.5,0.5833333333333334,1.0,0.6944444444444445,0.5,0.7,0.8666666666666667,0.6888888888888888,0.5,0.6363636363636365,0.9285714285714286,0.6883116883116883
2,5,1,0.6451612903225806,1.0,0.42857142857142855,0.6818181818181818,0.7034632034632035,0.3333333333333333,0.3,1.0,0.5444444444444444,0.5,0.3529411764705882,0.8108108108108109,0.5545839957604664
2,6,1,0.7741935483870968,0.42857142857142855,0.6666666666666666,1.0,0.6984126984126983,0.5,0.6,1.0,0.7000000000000001,0.4615384615384615,0.631578947368421,1.0,0.6977058029689608
2,7,1,0.8709677419354839,0.7142857142857143,0.8888888888888888,0.9333333333333333,0.8455026455026454,0.8333333333333334,0.8,0.9333333333333333,0.8555555555555555,0.7692307692307692,0.8421052631578948,0.9333333333333333,0.8482231219073325
2,8,1,0.6774193548387096,0.4166666666666667,0.75,0.9090909090909091,0.6919191919191919,0.8333333333333334,0.6,0.6666666666666666,0.7000000000000001,0.5555555555555556,0.6666666666666665,0.7692307692307692,0.6638176638176637
2,9,1,0.8064516129032258,0.5,0.7,1.0,0.7333333333333334,0.5,0.7,1.0,0.7333333333333334,0.5,0.7,1.0,0.7333333333333334
2,10,1,0.6774193548387096,0.75,0.5,0.8,0.6833333333333332,0.5,0.6,0.8,0.6333333333333334,0.6,0.5454545454545454,0.8000000000000002,0.6484848484848486
3,1,1,0.7741935483870968,0.5,0.7777777777777778,0.9285714285714286,0.7354497354497355,0.6666666666666666,0.7,0.8666666666666667,0.7444444444444445,0.5714285714285715,0.7368421052631577,0.896551724137931,0.7349408002765534
3,2,1,0.6774193548387096,0.5714285714285714,0.5454545454545454,0.8461538461538461,0.6543456543456543,0.6666666666666666,0.6,0.7333333333333333,0.6666666666666666,0.6153846153846153,0.5714285714285713,0.7857142857142856,0.6575091575091574
3,3,1,0.8387096774193549,0.6666666666666666,0.7272727272727273,1.0,0.797979797979798,0.6666666666666666,0.8,0.9333333333333333,0.8000000000000002,0.6666666666666666,0.761904761904762,0.9655172413793104,0.7980295566502463
