cross_val,kfold,n_trees,accuracy,class_1_recall,class_2_recall,class_3_recall,mean_recall,class_1_precision,class_2_precision,class_3_precision,mean_precision,class_1_F1,class_2_F1,class_3_F1,mean_F1
1,1,1,0.8709677419354839,0.8333333333333334,0.875,0.8823529411764706,0.863562091503268,0.8333333333333334,0.7,1.0,0.8444444444444444,0.8333333333333334,0.7777777777777777,0.9375,0.8495370370370371
1,2,1,0.7096774193548387,0.5714285714285714,0.6,0.8571428571428571,0.6761904761904761,0.6666666666666666,0.6,0.8,0.6888888888888888,0.6153846153846153,0.6,0.8275862068965518,0.6809902740937224
1,3,1,0.7741935483870968,0.5714285714285714,0.75,0.875,0.7321428571428571,0.6666666666666666,0.6,0.9333333333333333,0.7333333333333334,0.6153846153846153,0.6666666666666665,0.9032258064516129,0.7284256961676316
1,4,1,0.7741935483870968,0.5,0.75,0.9333333333333333,0.7277777777777779,0.6666666666666666,0.6,0.9333333333333333,0.7333333333333334,0.5714285714285715,0.6666666666666665,0.9333333333333333,0.7238095238095239
1,5,1,0.6774193548387096,0.2857142857142857,0.5714285714285714,0.8823529411764706,0.5798319327731093,0.3333333333333333,0.4,1.0,0.5777777777777778,0.30769230769230765,0.47058823529411764,0.9375,0.5719268476621417
1,6,1,0.7419354838709677,0.3333333333333333,0.5714285714285714,1.0,0.6349206349206349,0.16666666666666666,0.8,0.9333333333333333,0.6333333333333333,0.2222222222222222,0.6666666666666666,0.9655172413793104,0.6181353767560664
1,7,1,0.7096774193548387,0.3333333333333333,0.5384615384615384,0.9333333333333333,0.6017094017094017,0.16666666666666666,0.7,0.9333333333333333,0.6,0.2222222222222222,0.608695652173913,0.9333333333333333,0.5880837359098229
1,8,1,0.6451612903225806,0.25,0.5833333333333334,0.8,0.5444444444444444,0.16666666666666666,0.7,0.8,0.5555555555555555,0.2,0.6363636363636365,0.8000000000000002,0.5454545454545455
1,9,1,0.7741935483870968,0.5714285714285714,0.7,0.9285714285714286,0.7333333333333334,0.6666666666666666,0.7,0.8666666666666667,0.7444444444444445,0.6153846153846153,0.7,0.896551724137931,0.7373121131741821
1,10,1,0.7741935483870968,0.4,0.6666666666666666,1.0,0.6888888888888888,0.3333333333333333,0.8,0.9333333333333333,0.6888888888888888,0.3636363636363636,0.7272727272727272,0.9655172413793104,0.6854754440961338
2,1,1,0.6129032258064516,0.6,0.46153846153846156,0.7692307692307693,0.6102564102564103,0.5,0.6,0.6666666666666666,0.5888888888888889,0.5454545454545454,0.5217391304347826,0.7142857142857142,0.5938264633916808
2,2,1,0.7741935483870968,0.5714285714285714,0.7,0.9285714285714286,0.7333333333333334,0.6666666666666666,0.7,0.8666666666666667,0.7444444444444445,0.6153846153846153,0.7,0.896551724137931,0.7373121131741821
2,3,1,0.7096774193548387,0.25,0.5384615384615384,1.0,0.5961538461538461,0.16666666666666666,0.7,0.9333333333333333,0.6,0.2,0.608695652173913,0.9655172413793104,0.5914042978510744
2,4,1,0.7096774193548387,0.5,0.5714285714285714,0.875,0.6488095238095238,0.6666666666666666,0.4,0.9333333333333333,0.6666666666666666,0.5714285714285715,0.47058823529411764,0.9032258064516129,0.6484142043914339
2,5,1,0.7419354838709677,0.4,0.6,0.9375,0.6458333333333334,0.3333333333333333,0.6,1.0,0.6444444444444445,0.3636363636363636,0.6,0.967741935483871,0.6437927663734115
2,6,1,0.8064516129032258,0.5,0.8571428571428571,0.9375,0.7648809523809524,0.6666666666666666,0.6,1.0,0.7555555555555555,0.5714285714285715,0.7058823529411764,0.967741935483871,0.7483509532845396
2,7,1,0.6451612903225806,0.3333333333333333,0.5333333333333333,0.8461538461538461,0.570940170940171,0.16666666666666666,0.8,0.7333333333333333,0.5666666666666667,0.2222222222222222,0.64,0.7857142857142856,0.5493121693121693
2,8,1,0.7741935483870968,0.5,0.6923076923076923,0.875,0.6891025641025642,0.16666666666666666,0.9,0.9333333333333333,0.6666666666666666,0.25,0.7826086956521738,0.9032258064516129,0.645278167367929
2,9,1,0.6774193548387096,0.4,0.5454545454545454,0.8666666666666667,0.604040404040404,0.3333333333333333,0.6,0.8666666666666667,0.6,0.3636363636363636,0.5714285714285713,0.8666666666666667,0.6005772005772005
2,10,1,0.7419354838709677,0.5714285714285714,0.6666666666666666,0.8333333333333334,0.6904761904761906,0.6666666666666666,0.4,1.0,0.6888888888888888,0.6153846153846153,0.5,0.9090909090909091,0.6748251748251749
3,1,1,0.7741935483870968,0.5,0.875,0.8666666666666667,0.7472222222222222,0.6666666666666666,0.7,0.8666666666666667,0.7444444444444445,0.5714285714285715,0.7777777777777777,0.8666666666666667,0.7386243386243386
3,2,1,0.6129032258064516,0.5,0.4444444444444444,0.9090909090909091,0.6178451178451178,0.16666666666666666,0.8,0.6666666666666666,0.5444444444444444,0.25,0.5714285714285714,0.7692307692307692,0.5302197802197802
3,3,1,0.8064516129032258,0.7142857142857143,0.75,0.875,0.7797619047619048,0.8333333333333334,0.6,0.9333333333333333,0.7888888888888889,0.7692307692307692,0.6666666666666665,0.9032258064516129,0.7797077474496829
3,4,1,0.8064516129032258,0.5,0.7,1.0,0.7333333333333334,0.5,0.7,1.0,0.7333333333333334,0.5,0.7,1.0,0.7333333333333334
3,5,1,0.8709677419354839,0.8,0.75,1.0,0.85,0.6666666666666666,0.9,0.9333333333333333,0.8333333333333334,0.7272727272727272,0.8181818181818182,0.9655172413793104,0.8369905956112853
3,6,1,0.7096774193548387,0.4,0.6666666666666666,0.8235294117647058,0.6300653594771242,0.3333333333333333,0.6,0.9333333333333333,0.6222222222222222,0.3636363636363636,0.631578947368421,0.8749999999999999,0.6234051036682615
3,7,1,0.7741935483870968,0.4444444444444444,0.7142857142857143,1.0,0.7195767195767195,0.6666666666666666,0.5,1.0,0.7222222222222222,0.5333333333333333,0.588235294117647,1.0,0.7071895424836602
3,8,1,0.7096774193548387,0.6,0.5454545454545454,0.8666666666666667,0.6707070707070707,0.5,0.6,0.8666666666666667,0.6555555555555556,0.5454545454545454,0.5714285714285713,0.8666666666666667,0.6611832611832611
3,9,1,0.8064516129032258,0.6,0.6666666666666666,1.0,0.7555555555555555,0.5,0.8,0.9333333333333333,0.7444444444444445,0.5454545454545454,0.7272727272727272,0.9655172413793104,0.7460815047021944
3,10,1,0.7096774193548387,0.6,0.6666666666666666,0.75,0.6722222222222222,0.5,0.4,1.0,0.6333333333333333,0.5454545454545454,0.5,0.8571428571428571,0.6341991341991342
4,1,1,0.5161290322580645,0.125,0.25,0.8666666666666667,0.4138888888888889,0.16666666666666666,0.2,0.8666666666666667,0.41111111111111115,0.14285714285714288,0.22222222222222224,0.8666666666666667,0.4105820105820106
