cross_val,kfold,n_trees,accuracy,class_bad_recall,class_good_recall,mean_recall,class_bad_precision,class_good_precision,mean_precision,class_bad_F1,class_good_F1,mean_F1
1,1,1,0.64,0.40625,0.75,0.578125,0.43333333333333335,0.7285714285714285,0.5809523809523809,0.41935483870967744,0.7391304347826085,0.579242636746143
1,2,1,0.65,0.4,0.7333333333333333,0.5666666666666667,0.3333333333333333,0.7857142857142857,0.5595238095238095,0.3636363636363636,0.7586206896551724,0.561128526645768
1,3,1,0.72,0.5384615384615384,0.7837837837837838,0.661122661122661,0.4666666666666667,0.8285714285714286,0.6476190476190476,0.5,0.8055555555555555,0.6527777777777777
1,4,1,0.72,0.5357142857142857,0.7916666666666666,0.6636904761904762,0.5,0.8142857142857143,0.6571428571428571,0.5172413793103449,0.8028169014084506,0.6600291403593977
1,5,1,0.62,0.375,0.7352941176470589,0.5551470588235294,0.4,0.7142857142857143,0.5571428571428572,0.38709677419354843,0.7246376811594202,0.5558672276764843
1,6,1,0.66,0.43333333333333335,0.7571428571428571,0.5952380952380952,0.43333333333333335,0.7571428571428571,0.5952380952380952,0.43333333333333335,0.7571428571428571,0.5952380952380952
1,7,1,0.64,0.4117647058823529,0.7575757575757576,0.5846702317290553,0.4666666666666667,0.7142857142857143,0.5904761904761905,0.43749999999999994,0.7352941176470589,0.5863970588235294
1,8,1,0.65,0.42424242424242425,0.7611940298507462,0.5927182270465853,0.4666666666666667,0.7285714285714285,0.5976190476190476,0.4444444444444445,0.7445255474452556,0.59448499594485
1,9,1,0.7,0.5,0.7631578947368421,0.631578947368421,0.4,0.8285714285714286,0.6142857142857143,0.4444444444444445,0.7945205479452055,0.619482496194825
1,10,1,0.68,0.46875,0.7794117647058824,0.6240808823529411,0.5,0.7571428571428571,0.6285714285714286,0.4838709677419355,0.7681159420289856,0.6259934548854605
2,1,1,0.67,0.4117647058823529,0.7228915662650602,0.5673281360737066,0.23333333333333334,0.8571428571428571,0.5452380952380952,0.2978723404255319,0.7843137254901961,0.541093032957864
2,2,1,0.66,0.3888888888888889,0.7195121951219512,0.55420054200542,0.23333333333333334,0.8428571428571429,0.5380952380952381,0.2916666666666667,0.7763157894736842,0.5339912280701754
2,3,1,0.72,0.5294117647058824,0.8181818181818182,0.6737967914438503,0.6,0.7714285714285715,0.6857142857142857,0.5625,0.7941176470588236,0.6783088235294118
2,4,1,0.7,0.5,0.7702702702702703,0.6351351351351351,0.43333333333333335,0.8142857142857143,0.6238095238095238,0.4642857142857143,0.7916666666666666,0.6279761904761905
2,5,1,0.64,0.38461538461538464,0.7297297297297297,0.5571725571725572,0.3333333333333333,0.7714285714285715,0.5523809523809524,0.3571428571428571,0.75,0.5535714285714286
2,6,1,0.68,0.4666666666666667,0.7714285714285715,0.6190476190476191,0.4666666666666667,0.7714285714285715,0.6190476190476191,0.4666666666666667,0.7714285714285715,0.6190476190476191
2,7,1,0.72,0.5454545454545454,0.7692307692307693,0.6573426573426573,0.4,0.8571428571428571,0.6285714285714286,0.4615384615384615,0.8108108108108107,0.6361746361746361
2,8,1,0.68,0.4583333333333333,0.75,0.6041666666666666,0.36666666666666664,0.8142857142857143,0.5904761904761905,0.4074074074074074,0.7808219178082193,0.5941146626078133
2,9,1,0.64,0.375,0.7236842105263158,0.549342105263158,0.3,0.7857142857142857,0.5428571428571428,0.33333333333333326,0.7534246575342466,0.54337899543379
2,10,1,0.68,0.46153846153846156,0.7567567567567568,0.6091476091476091,0.4,0.8,0.6000000000000001,0.42857142857142855,0.7777777777777778,0.6031746031746031
3,1,1,0.72,0.5294117647058824,0.8181818181818182,0.6737967914438503,0.6,0.7714285714285715,0.6857142857142857,0.5625,0.7941176470588236,0.6783088235294118
3,2,1,0.75,0.6,0.8,0.7,0.5,0.8571428571428571,0.6785714285714286,0.5454545454545454,0.8275862068965518,0.6865203761755486
3,3,1,0.68,0.4642857142857143,0.7638888888888888,0.6140873015873016,0.43333333333333335,0.7857142857142857,0.6095238095238096,0.4482758620689655,0.7746478873239437,0.6114618746964546
3,4,1,0.69,0.48,0.76,0.62,0.4,0.8142857142857143,0.6071428571428572,0.4363636363636364,0.7862068965517242,0.6112852664576802
3,5,1,0.62,0.3333333333333333,0.7105263157894737,0.5219298245614035,0.26666666666666666,0.7714285714285715,0.5190476190476191,0.2962962962962963,0.7397260273972601,0.5180111618467782
3,6,1,0.72,0.5357142857142857,0.7916666666666666,0.6636904761904762,0.5,0.8142857142857143,0.6571428571428571,0.5172413793103449,0.8028169014084506,0.6600291403593977
3,7,1,0.54,0.3,0.7,0.5,0.4,0.6,0.5,0.34285714285714286,0.6461538461538462,0.4945054945054945
3,8,1,0.66,0.4090909090909091,0.7307692307692307,0.5699300699300699,0.3,0.8142857142857143,0.5571428571428572,0.34615384615384615,0.7702702702702704,0.5582120582120582
3,9,1,0.67,0.44,0.7466666666666667,0.5933333333333334,0.36666666666666664,0.8,0.5833333333333334,0.4,0.7724137931034483,0.5862068965517242
3,10,1,0.73,0.5517241379310345,0.8028169014084507,0.6772705196697426,0.5333333333333333,0.8142857142857143,0.6738095238095239,0.5423728813559322,0.8085106382978723,0.6754417598269022
4,1,1,0.59,0.2608695652173913,0.6883116883116883,0.4745906267645398,0.2,0.7571428571428571,0.47857142857142854,0.22641509433962265,0.7210884353741497,0.4737517648568862
